,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
64,Algonquin,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Blended whiskey,
65,Alice Cocktail,,,,,"Shake well, strain into a large cocktail glass.",,
66,Alice in Wonderland,,,,,Just mix the three ingredients one to one to one,,
67,Allegheny,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Dry Vermouth,
68,Allies Cocktail,,,,,,,
69,Almeria,,,,,,,
70,Almond Chocolate Coffee,,,Coffee mug,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,,
71,Almond Joy,,,,,,,
72,Aloha Fruit punch,,,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",Water,3/4 cup 
73,Amaretto And Cream,,,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",,
74,Amaretto Liqueur,,,,,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",Sugar,1 cup
75,Amaretto Mist,,,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",,
76,Amaretto Rose,,,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,,
77,Amaretto Shake,,,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Chocolate ice-cream,2 scoops 
78,Amaretto Sour,,,,,Shake and strain. Garnish with a cherry and an orange slice.,,
79,Amaretto Stinger,,,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",,
80,Amaretto Stone Sour,,,,,Shake and Serve over ice,,
81,Amaretto Stone Sour #3,,,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",Sour mix,
82,Amaretto Sunrise,,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,,
83,Amaretto Sunset,,,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",,1/2 jigger 
84,Amaretto Sweet & Sour,,,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",,
85,Amaretto Tea,,,Pousse cafe glass,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",Tea,6 oz hot 
86,Americano,,,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Campari,
87,Angel Face,,,,,Shake all ingredients with ice and strain contents into a cocktail glass.,,
88,Angelica Liqueur,,,,,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",Angelica root,3 tblsp chopped
89,Apello,,,,,Stirr. Grnish with maraschino cherry.,Orange juice,4 cl 
90,Apple Berry Smoothie,,,,,Throw everything into a blender and liquify.,Berries,1 cup 
91,Apple Cider Punch #1,Optional alcohol,,,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",Apple cider,4 qt 
92,Apple Grande,,,Punch Bowl,,Chill both ingredients!! Mix in a tumbler and enjoy!,Tequila,3 oz 
93,Apple Karate,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Apple juice,2 cups 
94,Apple Pie with A Crust,,,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,,3 parts 
95,Apple Slammer,,,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",7-Up,
96,Applecar,,,,,,,
97,Applejack,,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",,
98,Apricot Lady,,,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",,
99,Apricot punch,,,Punch bowl,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,,1 qt 
100,,,,,,,Unfilled,Unfilled
101,,,,,,,, 
174,,,,,,,Food coloring,2 drops blue 
188,,,,,,,,1/4 cup 
274,,,,,,,Glycerine,1/2 tsp 
288,,,,,,,,1 drop yellow 
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,1 drop green 
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,-1.0,
701,,,,,,,Grand Marnier,1/4 oz 
702,,,,,,,,1.5 oz 
705,,,,,,,Jägermeister,
706,,,,,,,Wild Turkey,1/2 shot 
707,,,,,,,Johnnie Walker,
709,,,,,,,Coca-Cola,
710,,,,,,,,1 splash 
711,,,,,,,Blueberry schnapps,
712,,,,,,,,4 oz 
713,,,,,,,Bailey's irish cream,
714,,,,,,,Orange Curacao,
716,,,,,,,Ginger beer,
717,,,,,,,Peach schnapps,
718,,,,,,,Añejo rum,
720,,,,,,,Soda water,
721,,,,,,,Lemon,Juice of 1/2 
722,,,,,,,Kirschwasser,
723,,,,,,,Grapefruit juice,
725,,,,,,,,1 Shot 
729,,,,,,,,1 dash 
731,,,,,,,Peach nectar,
732,,,,,,,,50 gr 
733,,,,,,,Pisang Ambon,
734,,,,,,,Midori melon liqueur,
736,,,,,,,Sweet and sour,
737,,,,,,,Lime juice,
739,,,,,,,Cranberry Juice,
741,,,,,,,,1 1/2 tsp 
743,,,,,,,Lemon juice,
744,,,,,,,Cognac,
746,,,,,,,Lemonade,1/2 can 
748,,,,,,,Vermouth,
749,,,,,,,,1 tblsp 
751,,,,,,,Sherry,1 1/2 oz dry 
757,,,,,,,Creme de Banane,
758,,,,,,,,4 parts 
762,,,,,,,,1/2 oz white 
767,,,,,,,Bourbon,
770,,,,,,,Dark Creme de Cacao,
772,,,,,,,Ginger,2 tsp 
773,,,,,,,Light cream,
775,,,,,,,Lime,1 
777,,,,,,,Brandy,
783,,,,,,,,3 shots 
786,,,,,,,,1 oz red 
787,,,,,,,Apple brandy,
788,,,,,,,Almond,1 tblsp chopped 
789,,,,,,,,3 cl 
