,Unnamed: 0,Name,ModificationDate,DrinkID,DrinkType,Category,GlassImageLink,Glass,IBA,Recipe,Video,Ingredients,Measure
38,38,Absolutely Cranberry Smash,2016-09-02 11:24:44,15024.0,,,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,,,Stir ingredients together. Serve over ice.,,,
39,39,Absolutely Fabulous,2017-09-07 21:55:34,17224.0,,,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,,,
40,40,Absolutly Screwed Up,2016-08-31 19:55:28,16134.0,,,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",,,
41,41,Acapulco,2016-09-02 11:26:16,11005.0,,,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,,,
42,42,Ace,2017-09-07 22:05:06,17225.0,,,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,,
43,43,Adam,2016-09-02 11:29:29,11006.0,,,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,,
44,44,Adam & Eve,2017-09-07 22:17:58,17226.0,,,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,,,Shake together all the ingredients and strain into a cold glass.,,,
45,45,Adam Bomb,2016-02-03 15:23:36,16333.0,,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,Rum,1 part 
46,46,Adam Sunrise,2016-09-02 11:28:32,15567.0,,,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",,,1/2 
47,47,Addington,2017-09-07 22:15:25,17227.0,,,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,,Sweet Vermouth,
48,48,Addison,2017-09-07 22:38:20,17228.0,,,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,,,,,,1 1/2 shot 
49,49,Addison Special,2017-04-24 22:14:53,14272.0,,,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,,,
50,50,Adios Amigos Cocktail,2017-09-07 22:31:33,17229.0,,,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,,,,,,
51,51,Adonis Cocktail,2016-09-02 11:27:11,11007.0,,,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",,,
52,52,Affair,2016-09-01 10:05:34,11008.0,,,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",,Strawberry schnapps,
53,53,Affinity,2017-09-07 21:44:05,11009.0,,,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,Scotch,
