,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
116,Avalon,,,,,"Fill A Tall Glass With Ice. Layer The Finlandia Vodka, Lemon And Apple Juices, Pisang Ambon, And Top Up With Lemonade. Stir Slightly And Garnish With A Spiralled Cucumber Skin And A Red Cherry. The Cucumber Provides Zest And Looks Attractive. This Drink, Created By Timo Haimi, Took First Prize In The 1991 Finlandia Vodka Long Drink Competition.",,
117,Aviation,,,,,Add All Ingredients Into Cocktail Shaker Filled With Ice. Shake Well And Strain Into Cocktail Glass. Garnish With A Cherry.,,4.5 Cl
118,Aztec Punch,,,,,"Mix All Ingredients In A Pitcher. Mix Thoroughly And Pour Into Whatever Is Available, The Bigger The Better! This Drink Packs A Big Punch, So Don't Over Do It.",,1 Can
119,B-52,,,,New Era Drinks,Layer Ingredients Into A Shot Glass. Serve With A Stirrer.,Bailey's Irish Cream,
120,B-53,,,,,"Layer The Kahlua, Sambucca And Grand Marnier Into A Shot Glas In That Order. Better Than B-52",,1/3 Shot
121,Baby Eskimo,,,,,"Leave Ice-cream Out For About 10 Minutes. Add Ingredients In Order, Stir With Chopstick (butter Knife Or Spoon Works Too). Consume Immediately And Often. Nice And Light, Great For Following A Heavy Drink.",,
122,Baby Guinness,,,,,"Pour Kahlua, Almost Filling Shot Glass. Then, Carefully Pour Baileys, Using Wall Of Shot Glass. This Will Give The ""guinness"" Its ""head"".",,
123,Bacardi Cocktail,,,,,Shake Together With Ice. Strain Into Glass And Serve.,,1 3/4 Oz Bacardi
124,Bailey's Dream Shake,,Soft Drink / Soda,,,Blend Ingredients For 30 Seconds. Definitely Refreshing For A Hot Summer's Day !,,
125,Balmoral,,,,,,,
126,Banana Cantaloupe Smoothie,,,,,"Juice Cantaloupe, Pour Juice Into Blender, Add Banana, And Liquify.",Cantaloupe,Juice Of 1/2
127,Banana Daiquiri,,,,,Pour All Ingredients Into Shaker With Ice Cubes. Shake Well. Strain In Chilled Cocktail Glass.,,
128,Banana Milk Shake,,,,,"Blend Very Well, Preferably In A Household Mixer. Serve In A Wine Glass, Garnish With Whipped Cream And A Piece Of Banana.",Milk,10 Cl Cold
129,Banana Strawberry Shake,,,,,Blend All Together In A Blender Until Smooth.,Strawberries,1/2 Lb Frozen
130,Banana Strawberry Shake Daiquiri-type,,,,,,,
131,Barracuda,,,Margarita Glass,,"Shake Pour Ingredients With Ice. Strain Into Glass, Top With Sparkling Wine.",,
132,Belgian Blue,,,,,Just Pour All Ingredients In The Glass And Stir...,,
133,Bellini,,,,Contemporary Classics,"Pour Peach Purée Into Chilled Flute, Add Sparkling Wine. Stir Gently.",,6 Oz
134,Bellini Martini,,,,,Add Ice Cubes To Shaker. Add Vodka. Add Peach Schnapps. Add Peach Nectar. Shake. Strain Into Glass. Add Lemon Twist Peel.,Ice,8 Cubes
135,Bermuda Highball,,,,,"Pour Brandy, Gin, And Dry Vermouth Into A Highball Glass Over Ice Cubes. Fill With Carbonated Water And Stir. Add The Twist Of Lemon And Serve. (ginger Ale May Be Substituted For Carbonated Water, If Preferred.)",Brandy,
136,Berry Deadly,,,,,Add All Ingredients To Large Bowl. Stir Gently. Serve Chilled.,Everclear,2 Pint
137,Between The Sheets,,,,,"Pour All Ingredients Into Shaker With Ice Cubes, Shake, Strain Into Chilled Cocktail Glass.",,
138,Bible Belt,,,,,"Mix All Ingredients, And Pour Over Ice.",,
139,Big Red,,,,,Pour Ingredients Into 1 Ounce Shot Glass,Irish Cream,
140,Black & Tan,,,Pint Glass,,Fill Pint Glass Half Full With Bass. Next Pour Guiness Over A Spoon Slowly Until Glass Is Full. If Done Correctly The Guiness Will Stay On Top And The Bass On Bottom Hence The Name Black & Tan.,Ale,1 Part Bass Pale
141,Black Forest Shake,,,,,"In A Blender Put Ice Cubes, Chocolate Syrup, Cherry Brandy, Vodka, And Milk. Blend Very Well.",,Cubes
142,Black Russian,,,,,Pour The Ingredients Into An Old Fashioned Glass Filled With Ice Cubes. Stir Gently.,Coffee Liqueur,
143,Black And Brown,,,,,Carefully To Avoid Explosive Head Formation: Pour Beer Glass Half Full Of Favorite Rootbeer And Top Off With Guinness.,Guinness Stout,
144,Blackthorn,,,,,Stir Sloe Gin And Vermouth With Ice And Strain Into A Cocktail Glass. Add The Twist Of Lemon Peel And Serve.,,
145,Bleeding Surgeon,,,,,"Pour Shot Of Rum Over Slice Of Orange. Fill The Remaining Space In Glass Half Way Full Of Surge Or Similar Drink. Finish Off Glass With Cranberry Juice. Be Carefull, Warm Surge May Foam Over The Glass.",,
146,Blind Russian,,,,,Fill Glass With Ice. Add All Liquers. Add Milk. Shake.,,
147,Bloody Maria,,,,,Shake All Ingredients (except Lemon Slice) With Cracked Ice And Strain Into An Old-fashioned Glass Over Ice Cubes. Add The Slice Of Lemon And Serve.,,
148,Bloody Mary,,,,,"Stirring Gently, Pour All Ingredients Into Highball Glass. Garnish.",,
149,Blue Lagoon,,,,,"Pour Vodka And Curacao Over Ice In A Highball Glass. Fill With Lemonade, Top With The Cherry, And Serve.",,
150,Blue Margarita,,,,,"Rub Rim Of Cocktail Glass With Lime Juice. Dip Rim In Coarse Salt. Shake Tequila, Blue Curacao, And Lime Juice With Ice, Strain Into The Salt-rimmed Glass, And Serve.",,
151,Blue Mountain,,,,,"In A Shaker Half-filled With Ice Cubes, Combine All Of The Ingredients. Shake Well. Strain Into An Old-fashioned Glass Alomst Filled With Ice Cubes.",Añejo Rum,
152,Bluebird,,,,,"In A Mixing Glass Half-filled With Crushed Ice, Combine The Gin, Triple Sec, Curacao, And Bitters. Stir Well. Strain Into A Cocktail Glass And Garnish With The Lemon Twist And The Cherry.",,
153,Bob Marley,,,,,Layer In A 2 Oz Shot Glass Or Pony Glass,Midori Melon Liqueur,
154,Bobby Burns Cocktail,,,,,Stir All Ingredients (except Lemon Peel) With Ice And Strain Into A Cocktail Glass. Add The Twist Of Lemon Peel And Serve.,,
155,Boomerang,,,,,"In A Mixing Glass Half-filled With Ice Cubes, Combine The Gin, Vermouth, Bitters, And Maraschino Liqueur. Stir Well. Strain Into A Cocktail Glass And Garnish With The Cherry.",,
156,Boozy Snickers Milkshake,,,Mason Jar,,"Place The Snickers Bars In A Plastic Bag And Roll Over Them With A Rolling Pin Until Crushed. Add Crushed Snickers Pieces, Ice Cream, Milk, Caramel Sauce, Chocolate Sauce, And Chocolate Liquor To A Blender. Blend Until Shake Is Thick And Frothy. Pour Into Glasses And Top With Chocolate Liquor And Whip Cream.",Vanilla Ice-cream,3 Cups
157,Bora Bora,,,,,"Prepare In A Blender Or Shaker, Serve In A Highball Glass On The Rocks. Garnish With 1 Slice Of Pineapple And One Cherry.",Pineapple Juice,10 Cl
158,Boston Sidecar,,,,,,,
159,Boston Sour,,,,,"Shake Juice Of Lemon, Powdered Sugar, Blended Whiskey, And Egg White With Cracked Ice And Strain Into A Whiskey Sour Glass. Add The Slice Of Lemon, Top With The Cherry, And Serve.",,
